V1_pos,V1_para,V1_sec,V2_pos,V2_para,V2_sec,align_status,similarity,block_type_v1,block_type_v2,text_V1,text_V2,notes
Preamble,title,1,Preamble,title,1,fuzzy,0.731,preamble,preamble,"# Article 40(4-11) DSA: Guidance for Applicants
Coimisiún na Meán
Publication date: 20 February 2026","# Guidance on Article 40(4-11) DSA
Coimisiún na Meán
Publication date: 25th May 2026",
Preamble,contents,2,Preamble,contents,2,fuzzy,0.865,preamble,preamble,"1. Introduction
2. Overview of Guidance
3. Overview of VR status application process
4. How to apply
5. Application Requirements
6. Information to be provided in respect of each of the conditions in Article 40(8)
7. Further guidance in respect of applications
8. Access Modalities
9. After an application for VR status is approved","1. Introduction
2. Overview of Guidance
3. Overview of VR status application process
4. How to apply
5. Application Requirements
6. Information to be provided in respect of each of the conditions in Article 40(8) and related requirements in the Delegated Act in order for an application to be considered complete
7. Further guidance in respect of applications
8. Access Modalities
9. After an application for VR status is approved",
Sec1,title,3,Sec1,title,3,exact,1,title,title,1. Introduction,1. Introduction,
Sec1,1.1_p1,4,Sec1,1.1_p1,4,exact,1,paragraph,paragraph,"Article 40 of the Digital Services Act (""**DSA**"") makes provision for certain researchers to access data from Very Large Online Platforms (""**VLOPS**"") or Very Large Online Search Engines (""VLOSES"") for the purposes of studying systemic risks in the EU stemming from the design, functioning or use of a VLOP/VLOSE and assessing mitigation measures implemented by the VLOP/VLOSE. Article 40(8) of the DSA sets out the process whereby a researcher, who has been vetted or assessed by a Digital Services Coordinator (""**DSC**"") to have met the criteria as set out under this provision, can have a request for access to data held by a VLOP/VLOSE submitted on their behalf by the DSC. The data must be limited in scope in accordance with Article 34 and 35 of the Digital Services Act (""DSA"") and deemed necessary and proportionate to the purpose of the research","Article 40 of the Digital Services Act (""**DSA**"") makes provision for certain researchers to access data from Very Large Online Platforms (""**VLOPS**"") or Very Large Online Search Engines (""**VLOSES**"") for the purposes of studying systemic risks in the EU stemming from the design, functioning or use of a VLOP/VLOSE and assessing mitigation measures implemented by the VLOP/VLOSE. Article 40(8) of the DSA sets out the process whereby a researcher, who has been vetted or assessed by a Digital Services Coordinator (""**DSC**"") to have met the criteria as set out under this provision, can have a request for access to data held by a VLOP/VLOSE submitted on their behalf by the DSC. The data must be limited in scope in accordance with Article 34 and 35 of the Digital Services Act (""DSA"") and deemed necessary and proportionate to the purpose of the research.",
Sec1,1.2_p1,5,Sec1,1.2_p1,5,exact,1,paragraph,paragraph,"A Vetted Researcher (""**VR**"") is a researcher who","A Vetted Researcher (""**VR**"") is a researcher who:",
Sec1,1.2(a),6,Sec1,1.2(a),6,exact,1,list,list,(a) applies to a DSC for VR status for specified research; and,(a) applies to a DSC for VR status for specified research; and,
Sec1,1.2(b),7,Sec1,1.2(b),7,exact,0.431,list,,"(b) is formally designated as a VR by a DSC, having met the conditions that are set out in Article 40(8) of the DSA, for the purposes of accessing specified data for the purposes of the research outlined in their application.","(b) is formally designated as a VR by a DSC, having met the conditions that are set out in Article 40(8) of the DSA and Commission Delegated Regulation (EU) 2025/2050 of 1 July 2025 (the ""Delegated Act""). for the purposes of accessing specified data for the purposes of the research outlined in their application.",
Sec1,1.3_p1,8,Sec1,1.3_p1,8,exact,1,paragraph,paragraph,"It is important to note that VR status is only awarded in respect of specific research as identified in an application. Where a person who has previously been granted VR status wishes to seek access to specified data held by a VLOP/VLOSE for the purposes of other research, a new application for VR status will need to be submitted for the purposes of that other research.","It is important to note that VR status is only awarded in respect of specific research as identified in an application. Where a person who has previously been granted VR status wishes to seek access to specified data held by a VLOP/VLOSE for the purposes of other research, a new application for VR status will need to be submitted for the purposes of that other research.",
Sec1,1.4_p1,9,Sec1,1.4_p1,9,fuzzy,0.883,paragraph,paragraph,"In order to be designated as a VR for the purposes of specific research, a researcher must submit a detailed application to a DSC (through the DSA Data Access portal (the ""Portal"")) which demonstrates that they meet the criteria as set out in Article 40(8) of the DSA and related requirements set out in Commission Delegated Regulation (EU) 2025/2050 of 1 July 2025 (the ""**Delegated Act**""). In summary, a researcher will need <u>**to demonstrate**</u>:","In order to be designated as a VR for the purposes of specific research, a researcher must submit a detailed application to a DSC (through the DSA Data Access portal (the ""**Portal**"")) which demonstrates that they meet the criteria as set out in Article 40(8) of the DSA and related requirements set out in the Delegated Act. In summary, a researcher will need <u>**to demonstrate**</ul>:",
Sec1,1.4(a),10,Sec1,1.4(a),10,exact,1,list,list,(a) They are affiliated to a research organisation[^1];,(a) They are affiliated to a research organisation[^1];,
