DDA_pos,DDA_para,DDA_sec,DA_pos,DA_para,DA_sec,text_DDA,text_DA
ExplMem-Ch1,,1,ExplMem-Ch1,,1,"1. CONTEXT OF THE DELEGATED ACT

On 16 November 2022, Regulation (EU) 2022/2065 of the European Parliament and of the Council, the Digital Services Act (DSA) entered into force. That Regulation provides a harmonised legal framework applicable to all online intermediary services provided in the Union and seeks to create a safer digital space, in which the fundamental rights of all users of digital services are protected.

Regulation (EU) 2022/2065 includes a special set of obligations for providers of very large online platforms (‘VLOPs’) and of very large online search engines (‘VLOSEs’), proportionate to their particular role and societal impact in the Union. It imposes several obligations on such providers to increase their public accountability, including the obligation to maintain public repositories of advertisements, to draft reports on the assessment of any systemic risks stemming from the design or functioning of their service and its related systems and to adopt risk mitigation measures, as well as the obligation to subject themselves to independent compliance audits.

Article 40 of Regulation (EU) 2022/2065 requires providers of very large online platforms and of very large online search engines to provide access to their data for the purposes of regulatory supervision and research that contributes to the detection, identification and understanding of systemic risks in the Union, and to the assessment of the adequacy, efficiency and impacts of risk mitigation measures that those providers have to take under that Regulation. The impact of this provision is twofold: researchers will benefit from access to previously undisclosed or under-disclosed data, opening up new avenues for research and increasing the potential of generating knowledge for the benefit of all. At the same time, these insights will contribute to regulators’ work on their enforcement tasks, including the assessment of the measures implemented by those providers to meet the requirements laid down in Regulation (EU) 2022/2065.

Pursuant to Article 40(13) of Regulation (EU) 2022/2065, the Commission is empowered to adopt delegated acts to supplement that Regulation by laying down the technical conditions under which providers of very large online platforms or of very large online search engines are to share data pursuant to Article 40, paragraphs 1 and 4, of Regulation (EU) 2022/2065 and the purposes for which the data may be used. In addition, the provision states that those delegated acts shall lay down the specific conditions under which such sharing of data with researchers can take place in compliance with Regulation (EU) 2016/679, as well as relevant objective indicators, procedures and, where necessary, independent advisory mechanisms in support of sharing of data, taking into account the rights and interests of the providers of very large online platforms or of very large online search engines and the recipients of the service concerned, including the protection of confidential information, in particular trade secrets, and maintaining the security of their service.

Given the important role that researchers can play for the detection, identification and understanding of systemic risks in the Union and for the assessment of the adequacy, efficiency and impacts of risk mitigation measures that providers of very large online platforms and of very large online search engines are required to take under Regulation (EU) 2022/2065, this delegated act specifies the procedures and technical conditions enabling the sharing of the data pursuant to Article 40, paragraph 4. To this end, this delegated act is intended to ensure an effective and harmonised application of the provision regulating access to data pursuant to Regulation (EU) 2022/2065.

The rules laid down in this delegated act build on existing practices for accessing data from providers of very large online platforms or of very large online search engines, which were set up on a voluntary basis. Considering the innovative nature of the mechanism set out in Article 40(4) of Regulation (EU) 2022/2065 involving different actors, namely researchers, Digital Services Coordinators and providers of very large online platforms or of very large online search engines, specific procedures are defined to develop solid, consistent and uniform practices, and to protect the rights and interests of all the actors involved.

In particular, the delegated act sets out the procedures to be followed by Digital Services Coordinators for the formulation of reasoned requests for access to data to providers of very large online platforms or of very large online search engines. In doing so, this delegated act also clarifies and harmonises the procedures for the management of the data access process, starting from the submission of the data access application and it establishes the Digital Services Act (DSA) data access portal, to underpin the different steps in the process. Moreover, the delegated act pays particular attention to the legal, organisational and technical safeguards to be taken into account by the Digital Services Coordinator of establishment when determining the appropriate access modalities for the sharing of the data. To this end, the delegated act operationalises the interactions between the Digital Service Coordinator of establishment and the providers of very large online platforms or of very large online search engines in the processing of the reasoned request for access to data.

The delegated act therefore aims at designing a practical and clear process for data access, which will protect the rights and interests of those involved – while containing adequate safeguards against any form of abuse.","1. CONTEXT OF THE DELEGATED ACT

On 16 November 2022, Regulation (EU) 2022/2065 of the European Parliament and of the Council, the Digital Services Act (DSA) entered into force. That Regulation provides a harmonised legal framework applicable to all online intermediary services provided in the Union and seeks to create a safer digital space, in which fundamental rights are effectively pProtected.

Regulation (EU) 2022/2065 includes a special set of obligations for providers of very large online platforms and of very large online search engines, proportionate to their particular role and societal impact in the Union. The obligations imposed on those providers seek to increase their public accountability and include the obligation to maintain public repositories of advertisements, to publish reports at least once a year on the results of their assessment of any systemic risks stemming from the design, functioning or use of their service and its related systems, and on the risk mitigation measures they put in place, as well as reports resulting from independent compliance audits.

Article 40 of Regulation (EU) 2022/2065 requires providers of very large online platforms and of very large online search engines to provide access to the data they hold for the purposes of regulatory supervision, research and scrutiny that contributes to the detection, identification and understanding of systemic risks in the Union, and to the assessment of the adequacy, efficiency and impacts of risk mitigation measures that those providers have to take  under that Regulation. The impact of this provision is twofold: researchers who fulfil the conditions set out in the provision will benefit from access to previously undisclosed or under-disclosed data, opening up new avenues for research and increasing the potential of generating knowledge for the benefit of all. At the same time, these insights will contribute to the work of competent authorities in carrying out their supervision and enforcement tasks, including the assessment of the steps taken by providers of very large online platforms and of very large online search engines to fulfil their obligations under Regulation (EU) 2022/2065.

Pursuant to Article 40(13) of Regulation (EU) 2022/2065, the Commission shall adopt delegated acts to supplement that Regulation by laying down the technical conditions under which providers of very large online platforms or of very large online search engines are to share data pursuant to Article 40, paragraphs 1 and 4, of Regulation (EU) 2022/2065 and the purposes for which the data may be used. In addition, the provision states that those delegated acts shall lay down the specific conditions under which such sharing of data with researchers can take place in compliance with Regulation (EU) 2016/679, as well as relevant objective indicators, procedures and, where necessary, independent advisory mechanisms in support of sharing of data, taking into account the rights and interests of the providers of very large online platforms or of very large online search engines and the recipients of the service concerned, including the protection of confidential information, in particular trade secrets, and maintaining the security of their service.

This delegated act specifies the procedures and technical conditions enabling the provision of access to data pursuant to Article 40, paragraph 4 of Regulation (EU) 2022/2065. Given the important role that researchers can play for the detection, identification and understanding of systemic risks in the Union and for the assessment of the adequacy, efficiency and impact of risk mitigation measures that providers of very large online platforms and of very large online search engines are required to take under that Regulation, this delegated act is intended to ensure an effective and harmonised application of the provision regulating access to data for vetted researchers pursuant to Regulation (EU) 2022/2065.

The rules laid down in this delegated act build on existing practices for accessing data from providers of very large online platforms or of very large online search engines, which were set up on a voluntary basis. Considering the innovative nature of the mechanism set out in Article 40(4) of Regulation (EU) 2022/2065 involving different actors, namely researchers, Digital Services Coordinators and providers of very large online platforms or of very large online search engines, specific procedures are set out to develop reliable, consistent and uniform practices, and to protect the rights and interests of all the actors involved.

In particular, the delegated act sets out the procedures to be followed by Digital Services Coordinators for the formulation of reasoned requests for data access to providers of very large online platforms or of very large online search engines. In doing so, this delegated act also clarifies and harmonises the procedures for the management of the data access process, and establishes the Digital Services Act (DSA) data access portal, to underpin the different steps in that process. Moreover, the delegated act sets out the legal, organisational and technical conditions to be taken into account by the Digital Services Coordinator of establishment when determining the appropriate access modalities for the provision of access to data. To this end, the delegated act sets out rules for the interactions between the Digital Services Coordinator of establishment and the providers of very large online platforms or of very large online search engines in the processing of the reasoned request for data access.

The delegated act aims at establishing a consistent and uniform process for data access for vetted researchers, which will protect the rights and interests of those involved – while containing adequate safeguards against any form of abuse."
ExplMem-Ch2,,1,ExplMem-Ch2,,1,"2. CONSULTATIONS PRIOR TO THE ADOPTION OF THE ACT

Over the last year, the Commission has collected views from a wide range of different stakeholders, including providers of digital services, such as providers of very large online platforms or of very large search engines, providers of other online platforms and other intermediary service providers, other businesses, as well as an expert group of academics and researchers.

In addition, the Commission conducted a call for evidence from 25 April to 31 May 2023. 133 contributions were received, gathering feedback on data access needs by researchers, providers of online platforms, civil society organisations as well as other relevant stakeholders. The call also covered operational matters of data access, such as procedural and technical requirements for data access applications.

The Commission also conducted targeted consultations with specialised stakeholders in the field of research and access to data, including Member State experts, in order to gather further technical views and identify areas that would benefit from further clarity through this delegated act. Consultations took place with academics, civil society actors and intermediary service providers.

Furthermore, the Commission published a draft of this delegated act for public feedback.

This delegated act addresses the main points raised by stakeholders, while preserving the level of rigor in ensuring the provision of access to data required by Regulation (EU) 2022/2065.","2. CONSULTATIONS PRIOR TO THE ADOPTION OF THE ACT

Over the two years preceding the adoption of this delegated act, the Commission has collected views from a wide range of different stakeholders, including providers of digital services, such as providers of very large online platforms or of very large search engines, providers of other online platforms and other intermediary service providers, other businesses, civil society organisations as well as an expert group of academics and researchers.

In addition, the Commission conducted a public call for evidence from 25 April to 31 May 2023. 133 contributions were received, gathering input on data access needs from researchers, providers of online platforms, civil society organisations as well as other interested stakeholders. The call also covered operational aspects of data access, such as procedural and technical requirements for data access applications.

The Commission also conducted targeted consultations with specialised stakeholders in the field of research and access to data, including Digital Services Coordinators, in order to gather further technical views and identify areas that would benefit from further specification in this delegated act. Consultations took place with academics, civil society actors and intermediary service providers.

Furthermore, the Commission published a draft of this delegated act for public feedback from 29 October 2024 to 10 December 2024. 109 contributions were received mainly from researchers, Digital Services Coordinators and businesses.

This delegated act addresses the main points raised by stakeholders with a view to ensuring that an efficient and harmonised process is in place, balancing the rights and interests of all actors involved for the provision of access to data for vetted researchers as required by Regulation (EU) 2022/2065."
ExplMem-Ch3,,1,ExplMem-Ch3,,1,"3. LEGAL ELEMENTS OF THE DELEGATED ACT

Section I sets out the general provisions, namely, the subject matter of the delegated act (Article 1) and the definitions of key terms (Article 2).

Section II sets out the information and contact obligations in relation to the data access process. First, it establishes the DSA data access portal (Article 3), then it sets out the roles and responsibilities for the processing of personal data carried out in the DSA data access portal (Article 4) and the rules for the processing of personal data in the DSA data access portal (Article 5). Lastly, it sets out requirements regarding the points of contact and public information on the data access process (Article 6).

Section III lays down the requirements for the formulation and assessment of reasoned requests. It provides details on the formulation of a reasoned request for data access by the Digital Services Coordinator of establishment pursuant to Article 40(4) of Regulation (EU) 2022/2065 (Article 7), on the prerequisites for the formulation of a reasoned request (Article 8), on the appropriateness of the access modalities to ensure the data security, confidentiality and personal data protection requirements corresponding to the data requested (Article 9) and on the content of the reasoned request (Article 10). It then sets out the requirements for the publication of the overview of the reasoned request in the DSA data access portal (Article 11), the procedures for the handling of amendments requests by providers of very large online platforms or of very large online search engines pursuant to Article 40(5) of Regulation 2022/2065 (Article 12) and the dispute settlement procedure (Article 13). Lastly, it lays down the conditions for the independent advisory mechanisms (Article 14).

Section IV contains provisions on the conditions for providing the data requested to vetted researchers by providing details on the data format and data documentation requirements data providers need to adhere to when providing access to data (Article 15).

Finally, Section V contains the final provision of this delegated act concerning its entry into force (Article 16).","3. LEGAL ELEMENTS OF THE DELEGATED ACT

Chapter I sets out the general provisions, namely the subject matter of the delegated act (Article 1) and the definitions of key terms (Article 2).

Chapter II sets out the information and contact obligations in relation to the data access process. First, it establishes the DSA data access portal (Article 3), then it sets out the roles and responsibilities for the processing of personal data carried out in the DSA data access portal (Article 4) and the rules for the processing of personal data in the DSA data access portal (Article 5). Lastly, it sets out requirements regarding the points of contact and information to the public on the data access process (Article 6).

Chapter III lays down the requirements for the formulation and processing of reasoned requests for data access. It provides details on the formulation of a reasoned request for data access by the Digital Services Coordinator of establishment pursuant to Article 40(4) of Regulation (EU) 2022/2065 (Article 7), on the prerequisites for the formulation of a reasoned request for data access (Article 8), on the appropriateness of the access modalities to ensure compliance with the data security, confidentiality and personal data protection requirements corresponding to the data requested (Article 9) and on the content of the reasoned request for data access (Article 10). It then sets out the requirements for the publication of an overview of the reasoned request for data access in the DSA data access portal (Article 11), the procedures for the handling of amendment requests submitted by providers of very large online platforms or of very large online search engines pursuant to Article 40(5) of Regulation 2022/2065 (Article 12) and a mediation process (Article 13). Lastly, it lays down the conditions for independent expert consultations (Article 14).

Chapter IV contains a provision on the conditions for providing access to the data requested to vetted researchers by providing details on the data management and data documentation requirements data providers need to adhere to when providing access to data (Article 15).

Finally, Chapter V contains the final provision of this delegated act concerning its entry into force (Article 16)."
title,,1,title,,1,"COMMISSION DELEGATED REGULATION (EU) …/...
of XXX
supplementing Regulation (EU) 2022/2065 of the European Parliament and of the Council by laying down the technical conditions and procedures under which providers of very large online platforms and of very large online search engines are to share data pursuant to Article 40 of Regulation (EU) 2022/2065
(Text with EEA relevance)","COMMISSION DELEGATED REGULATION (EU) …/...
of 1.7.2025
supplementing Regulation (EU) 2022/2065 of the European Parliament and of the Council by laying down the technical conditions and procedures under which providers of very large online platforms and of very large online search engines are to share data with vetted researchers
(Text with EEA relevance)"
preamble,,1,preamble,,1,"THE EUROPEAN COMMISSION,
Having regard to the Treaty on the Functioning of the European Union,
Having regard to Regulation (EU) 2022/2065 of the European Parliament and of the Council of 19 October 2022 on a Single Market for Digital Services and amending Directive 2000/31/EC, and in particular Article 40(13) thereof,
Whereas:","THE EUROPEAN COMMISSION,
Having regard to the Treaty on the Functioning of the European Union,
Having regard to Regulation (EU) 2022/2065 of the European Parliament and of the Council of 19 October 2022 on a Single Market for Digital Services and amending Directive 2000/31/EC, and in particular Article 40(13) thereof,
Whereas:"
Rec1,1,1,Rec1,1,1,Article 40 of Regulation (EU) 2022/2065 lays down rules regarding access to data to be granted by providers of very large online platforms and of very large online search engines. ,Article 40 of Regulation (EU) 2022/2065 lays down rules regarding access to data to be granted by providers of very large online platforms and of very large online search engines.
Rec1,1,2,Rec1,1,2,It enables researchers who have demonstrated that they fulfil the relevant conditions laid down in Article 40(8) of that Regulation (‘vetted researchers’) to be provided with such access. The purpose of this Regulation is to lay down technical conditions and procedures necessary to enable such access.,"In particular, it enables researchers who have demonstrated that they fulfil the relevant conditions laid down in Article 40(8) of that Regulation (‘vetted researchers’) to be provided with such access. This Regulation lays down technical conditions and harmonises the procedures necessary to enable such access."
Rec2,1,1,Rec2,1,1,"Under Article 40(4) of Regulation (EU) 2022/2065, vetted researchers are to be provided with access to data to help them study systemic risks in the Union and assess the effectiveness of measures to reduce those risks. Their findings can constitute valuable input for the enforcement of Regulation (EU) 2022/2065.","Under Article 40(4) of Regulation (EU) 2022/2065, vetted researchers are to be provided with access to data to help them study systemic risks in the Union and assess the effectiveness of measures to mitigate those risks. Their findings can constitute valuable input for the enforcement of Regulation (EU) 2022/2065 and foster accountability of providers of very large online platforms and of very large online search engines."
Rec3,1,1,Rec2,1,2,"To make the data sharing according to Article 40(4) of Regulation (EU) 2022/2065 work, clear rules are needed for efficient sharing of data by providers of very large online platforms or of very large online search engines with vetted researchers. This includes setting out the steps and technical conditions needed to ensure that data is shared securely and efficiently.","The purpose of this Regulation is to lay down the technical conditions and the procedures necessary to enable such access, in a secure and efficient manner that is consistent across all Digital Services Coordinators, and in a way that ensures equality of treatment for researchers and data providers."
Rec4,1,1,Rec3,1,1,"To ensure that the data access process is transparent and consistent across Digital Services Coordinators, and to make this process clear and easy-to-use, it is necessary to create a dedicated digital infrastructure (‘the DSA data access portal’). That portal should enable researchers, data providers, and Digital Services Coordinators to access and exchange information, communications, and updates on ongoing processes.","To ensure that the data access process is consistent across all Digital Services Coordinators and to make that process clear and transparent for everyone, it is necessary to create a dedicated digital infrastructure (‘the DSA data access portal’). The DSA data access portal should allow researchers, data providers, and Digital Services Coordinators to participate in the data access process, have access to and disseminate relevant information, such as the details of the dedicated points of contact, and communicate with one another. The DSA data access portal should not be considered as one of the access modalities to be used for the provision of access to the data pursuant to a reasoned request."
